symbol,year,total_return,annual_return,benchmark_return,excess_return,max_drawdown,buy_signals,sell_signals,total_trades,profitable_trades,win_rate,profit_loss_ratio,avg_win,avg_loss,data_days,start_date,end_date
SUI_USDT,2023,,,,,-0.021482122260669034,2,156,2,1,0.5,1.038565030399258,0.022310580958692285,0.02148212226066901,213,2023-06-02,2023-12-31
TRX_USDT,2023,,,,,-0.16167540107051115,5,126,5,2,0.4,2.359541993461354,0.02993388355911941,0.012686311005301326,335,2023-01-31,2023-12-31
UNI_USDT,2023,,,,,-0.21358421619408696,6,207,5,1,0.2,2.4186316561240258,0.11562559331687867,0.04780620191756453,335,2023-01-31,2023-12-31
VET_USDT,2023,,,,,-0.15431828145550175,5,185,5,2,0.4,2.560580811293697,0.04080840609670716,0.015937167816269502,335,2023-01-31,2023-12-31
XRP_USDT,2023,,,,,-0.314227493082619,4,219,4,3,0.75,0.22134194919645628,0.048785904906909344,0.22040966515393104,335,2023-01-31,2023-12-31
DOGE_USDT,2024,3.2525217817486345,3.235736479702484,2.4351559952168755,0.817365786531759,-0.4390117221041745,4,202,4,2,0.5,13.515767261323134,1.4825239358579327,0.10968847770117642,366,2024-01-01,2024-12-31
HBAR_USDT,2024,3.1650854311204846,3.148880750278047,1.9398907103825147,1.2251947207379699,-0.30901322592935254,5,251,5,3,0.6,18.612059065529344,1.1271006136593136,0.06055754549730459,366,2024-01-01,2024-12-31
XRP_USDT,2024,2.43555313152586,2.423987713529919,2.310454401016846,0.1250987305090141,-0.20869884382455484,6,241,6,5,0.8333333333333334,5.54182961285628,0.5405029744974621,0.09753150353875366,366,2024-01-01,2024-12-31
SUI_USDT,2024,1.6972060752414322,1.6899039223922658,3.88563640673145,-2.188430331490018,-0.2623917528914189,6,173,6,3,0.5,11.258597669539764,0.49609555758837914,0.04406370776802604,366,2024-01-01,2024-12-31
ALGO_USDT,2024,1.2667626404325834,1.2616999657146013,0.4013405948889823,0.865422045543601,-0.2783343154586524,6,263,0,0,0.0,0.0,0.0,0.0,366,2024-01-01,2024-12-31
UNI_USDT,2024,0.9183007509973866,0.9148894233182634,0.7424999999999993,0.17580075099738735,-0.36823801056098326,5,199,0,0,0.0,0.0,0.0,0.0,366,2024-01-01,2024-12-31
ADA_USDT,2024,0.6915913972491756,0.6891635826463356,0.3560654685494202,0.3355259286997554,-0.28970984094433416,6,264,0,0,0.0,0.0,0.0,0.0,366,2024-01-01,2024-12-31
MANA_USDT,2024,0.6571776998683416,0.6548922092199885,-0.13406267383645365,0.7912403737047953,-0.4432642271762266,7,242,7,3,0.42857142857142855,5.047449634066404,0.31979319467764994,0.06335738201710657,366,2024-01-01,2024-12-31
BNB_USDT,2024,0.6311216843807175,0.6289426615795979,1.2401913875598107,-0.6090697031790933,-0.24264424603279755,8,151,8,4,0.5,8.64405257392864,0.18810265194619508,0.021760933351276948,366,2024-01-01,2024-12-31
SAND_USDT,2024,0.6120884813143848,0.6099865155107782,-0.0954116282922004,0.7075001096065852,-0.3485286249331191,8,266,8,4,0.5,4.272778976757994,0.2619360974690256,0.061303451195074854,366,2024-01-01,2024-12-31
LINK_USDT,2024,0.5517596598326271,0.5498978623686404,0.2869822485207085,0.26477741131191856,-0.2436773752563226,8,227,8,3,0.375,6.511622490418907,0.30056109982223783,0.046157635867938966,366,2024-01-01,2024-12-31
VET_USDT,2024,0.5449678391161508,0.5431326845747053,0.18030095759233933,0.36466688152381144,-0.3540436456996149,5,275,5,2,0.4,6.8880525554834655,0.4404276007988492,0.0639408014458647,366,2024-01-01,2024-12-31
FIL_USDT,2024,0.45772317562563924,0.45622290852439407,-0.345620293301625,0.8033434689272643,-0.23246319435853036,6,262,6,4,0.6666666666666666,2.924756075100191,0.13670772681664362,0.046741582308521414,366,2024-01-01,2024-12-31
ATOM_USDT,2024,0.443491364486724,0.4420443995417258,-0.44737077046692186,0.8908621349536459,-0.23592802848070815,5,274,5,3,0.6,3.985714135977204,0.1882278182361626,0.04722561925280011,366,2024-01-01,2024-12-31
BTC_USDT,2024,0.3532501046780645,0.3521320679198954,1.1180840456727177,-0.7648339409946532,-0.14087216540595204,6,172,6,4,0.6666666666666666,2.6077464293112755,0.11883692604095704,0.04557073675002317,366,2024-01-01,2024-12-31
DOT_USDT,2024,0.26558683319664134,0.2647726385090896,-0.22710878417684843,0.49269561737348977,-0.31132829797840134,8,264,8,3,0.375,4.2666210742855295,0.1820791884491527,0.04267526580846951,366,2024-01-01,2024-12-31
FLOW_USDT,2024,0.2043238967218144,0.2037122873621342,-0.26939203354297747,0.47371593026479186,-0.2534864643150122,5,250,0,0,0.0,0.0,0.0,0.0,366,2024-01-01,2024-12-31
ETH_USDT,2024,0.10540739773702779,0.10510476910250355,0.4191000153058613,-0.3136926175688335,-0.1383936674829086,6,232,0,0,0.0,0.0,0.0,0.0,366,2024-01-01,2024-12-31
TRX_USDT,2024,0.053021288617101314,0.05287265781580652,1.3653917564054985,-1.3123704677883972,-0.11177884615384637,4,152,4,3,0.75,4.283945560919145,0.018991063015157576,0.004433077578857686,366,2024-01-01,2024-12-31
SHIB_USDT,2024,0.036140047524190866,0.036039545920263816,0.9831460674157286,-0.9470060198915378,-0.21879841948341638,6,233,0,0,0.0,0.0,0.0,0.0,366,2024-01-01,2024-12-31
BCH_USDT,2024,0.015919882715986988,0.015876042304328264,0.6224794622852872,-0.6065595795693002,-0.35590602845913033,5,217,0,0,0.0,0.0,0.0,0.0,366,2024-01-01,2024-12-31
ETC_USDT,2024,-0.04035291076272873,-0.04024490590369534,0.11377777777777909,-0.15413068854050782,-0.36670441846355695,8,234,8,4,0.5,1.082495316532943,0.1036496704193275,0.09575068717276357,366,2024-01-01,2024-12-31
NEAR_USDT,2024,-0.0659929834060311,-0.06581874338597082,0.2949393779652061,-0.3609323613712372,-0.30823324531615937,6,211,0,0,0.0,0.0,0.0,0.0,366,2024-01-01,2024-12-31
SOL_USDT,2024,-0.06705917652822513,-0.0668822234273293,0.7224092439268481,-0.7894684204550733,-0.21006893415535477,5,191,5,2,0.4,0.07107058255449815,0.0016953400419581661,0.023854314697056973,366,2024-01-01,2024-12-31
APT_USDT,2024,-0.08238641462637053,-0.08217082806470322,-0.1234690899576324,0.041082675331261864,-0.22890737572356679,9,212,0,0,0.0,0.0,0.0,0.0,366,2024-01-01,2024-12-31
LTC_USDT,2024,-0.1095045575497523,-0.10922233455301089,0.38222698072805184,-0.49173153827780414,-0.3911988105872508,8,216,8,3,0.375,1.5309082371167755,0.12466203040784708,0.08143011278234963,366,2024-01-01,2024-12-31
AVAX_USDT,2024,-0.14821023040102455,-0.14783681439656937,-0.14854554124940456,0.00033531084838001046,-0.3785797403182789,7,220,0,0,0.0,0.0,0.0,0.0,366,2024-01-01,2024-12-31
ICP_USDT,2024,-0.5501490150603879,-0.5491660890468363,-0.23600803957947025,-0.3141409754809177,-0.5710082461781014,7,229,7,0,0.0,0.0,0.0,0.10547748477194878,366,2024-01-01,2024-12-31
TON_USDT,2024,,,,,-0.16212296983758712,2,80,2,2,1.0,0.0,0.05317120368459223,0.0,116,2024-09-07,2024-12-31
ETH_USDT,2025,0.4933876264917889,0.4933876264917889,-0.11568334533594404,0.609070971827733,-0.1418545890973406,6,256,6,3,0.5,5.386986574425544,0.23614866908022825,0.043836877225819075,365,2025-01-01,2025-12-31
XRP_USDT,2025,0.17835257073002664,0.17835257073002664,-0.21026234567901225,0.3886149164090389,-0.24280372753665636,5,271,5,2,0.4,5.173399426434707,0.13434479865685628,0.025968379315617848,365,2025-01-01,2025-12-31
AVAX_USDT,2025,0.0961775110569183,0.0961775110569183,-0.6739015352038112,0.7700790462607295,-0.18613242398408614,5,263,5,2,0.4,3.5943258898020756,0.09500652163411218,0.026432361601842338,365,2025-01-01,2025-12-31
TRX_USDT,2025,0.06835933710642039,0.06835933710642039,0.11176240719031005,-0.04340307008388966,-0.09688625953307894,7,219,7,2,0.2857142857142857,4.349746909514781,0.09886901361499294,0.022729831337709228,365,2025-01-01,2025-12-31
BCH_USDT,2025,0.04092180536704304,0.04092180536704304,0.33074361820199805,-0.289821812834955,-0.1749367088607593,6,183,6,4,0.6666666666666666,0.6975125911169736,0.0717751389258441,0.10290156742676969,365,2025-01-01,2025-12-31
TON_USDT,2025,0.02979374890352049,0.02979374890352049,-0.6992385786802031,0.7290323275837236,-0.04323130325023661,5,308,5,4,0.8,0.4294766541726963,0.018566835475436857,0.04323130325023667,365,2025-01-01,2025-12-31
BTC_USDT,2025,0.018930685706585182,0.018930685706585182,-0.07340563065779826,0.09233631636438344,-0.20741168836162338,8,237,8,3,0.375,2.0821076066412094,0.0815653485195364,0.03917441551021229,365,2025-01-01,2025-12-31
FLOW_USDT,2025,0.018029850746268616,0.018029850746268616,-0.8832417582417582,0.9012716089880268,0.0,2,309,2,2,1.0,0.0,0.008975124378109461,0.0,365,2025-01-01,2025-12-31
VET_USDT,2025,-0.0074704700359595755,-0.0074704700359595755,-0.7764201500535906,0.768949680017631,-0.0842385569628995,3,311,3,1,0.3333333333333333,1.9641262813992757,0.08382978723404254,0.04268044678589649,365,2025-01-01,2025-12-31
SUI_USDT,2025,-0.022370078724466724,-0.022370078724466724,-0.6722524330758286,0.6498823543513619,-0.15830667887100836,5,283,5,2,0.4,1.5024585230968817,0.10364375121822601,0.0689827703227338,365,2025-01-01,2025-12-31
DOGE_USDT,2025,-0.03918746195563905,-0.03918746195563905,-0.6386983668071231,0.5995109048514841,-0.18069666182873756,4,278,4,2,0.5,0.45845239053186165,0.01618520772969777,0.035304009890581925,365,2025-01-01,2025-12-31
DOT_USDT,2025,-0.04672353243377192,-0.04672353243377192,-0.7462771238122248,0.6995535913784529,-0.10941981028016756,4,298,4,2,0.5,0.11055220293205596,0.0028976547664840853,0.026210737458257152,365,2025-01-01,2025-12-31
ALGO_USDT,2025,-0.0643565416150238,-0.0643565416150238,-0.7068965517241381,0.6425400101091143,-0.12809347820046135,4,304,4,2,0.5,0.555128101540192,0.03653152308746212,0.06580737488537533,365,2025-01-01,2025-12-31
BNB_USDT,2025,-0.06580054247624767,-0.06580054247624767,0.22103865280289425,-0.2868391952791419,-0.06580054247624767,5,221,5,0,0.0,0.0,0.0,0.01348111660589423,365,2025-01-01,2025-12-31
ATOM_USDT,2025,-0.06642641328535603,-0.06642641328535603,-0.705208492439285,0.6387820791539289,-0.17815328888926119,6,311,6,2,0.3333333333333333,1.280334672433399,0.05456846215749127,0.04262046739215354,365,2025-01-01,2025-12-31
